year,month,day,website,url,pos_mean,pos_median,pos_min,pos_max,neg_mean,neg_median,neg_min,neg_max,neu_mean,neu_median,neu_min,neu_max,net_mean,net_median,net_min,net_max,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,words,complex_words,tags
2021,1,1,yahoo.com,https://news.yahoo.com/amazon-fire-tv-india-231557259.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.0,-0.0,0.0,6.27,8.79,8.59,83.65,10.37,38.3,9.32,3.67,10.44,113.0,8.0,['AMZN']
2021,1,1,yahoo.com,https://news.yahoo.com/red-hot-buccaneers-not-looking-231637664.html,0.22,0.0,0.0,1.0,0.12,0.0,0.0,0.99,0.66,0.99,0.0,1.0,0.1,0.0,-0.99,1.0,5.37,7.42,7.41,88.32,9.84,33.51,9.01,2.79,9.47,696.0,47.0,['T']
2021,1,1,yahoo.com,https://news.yahoo.com/walt-disney-dis-gains-lags-224510398.html,0.37,0.0,0.0,1.0,0.15,0.0,0.0,1.0,0.48,0.02,0.0,1.0,0.22,0.0,-1.0,1.0,7.9,9.74,9.76,72.06,13.99,44.09,12.55,4.76,13.1,472.0,76.0,"['DIS', 'DOW', 'NDAQ']"
2021,1,1,marketwatch.com,https://www.marketwatch.com/articles/after-their-epic-rally-this-past-year-stocks-face-inflation-risks-in-2021-bet-wisely-51609458947,0.34,0.0,0.0,1.0,0.12,0.0,0.0,1.0,0.53,0.94,0.0,1.0,0.22,0.0,-1.0,1.0,5.95,7.08,9.11,76.65,10.95,35.65,10.5,3.0,11.17,1076.0,148.0,"['T', 'COF', 'DOW', 'FDS', 'IVZ', 'MS', 'NDAQ', 'TGT', 'USB']"
2021,1,1,marketwatch.com,https://www.marketwatch.com/story/boris-johnson-hails-an-amazing-moment-as-brexit-is-finally-complete-01609458165,0.13,0.0,0.0,1.0,0.12,0.0,0.0,0.99,0.74,1.0,0.0,1.0,0.01,-0.0,-0.99,1.0,6.57,7.82,8.95,76.22,10.93,38.29,10.39,3.56,10.14,967.0,111.0,"['CFG', 'DOV', 'JNJ']"
2021,1,1,marketwatch.com,https://www.marketwatch.com/articles/we-found-a-bubblebut-it-may-not-be-what-you-think-it-is-51609457640,0.34,0.0,0.0,1.0,0.22,0.0,0.0,1.0,0.44,0.16,0.0,1.0,0.12,0.0,-1.0,1.0,4.49,5.64,7.8,85.21,8.89,30.57,9.04,2.26,10.18,1582.0,153.0,"['T', 'BLL', 'COF', 'DG', 'DOW', 'NDAQ', 'PRU', 'SPGI', 'STT', 'TSLA']"
2021,1,1,marketwatch.com,https://www.marketwatch.com/story/trump-extends-pandemic-related-bans-on-green-cards-work-visas-through-march-31-01609458532,0.09,0.0,0.0,1.0,0.04,0.0,0.0,0.93,0.87,1.0,0.0,1.0,0.04,-0.0,-0.85,1.0,9.43,10.66,13.55,51.85,12.51,45.33,11.5,4.33,12.25,370.0,65.0,"['CFG', 'V']"
2021,1,1,marketwatch.com,https://www.marketwatch.com/story/biontech-se-adr-falls-thursday-underperforms-market-01609450234-64dfcfca59c3,0.04,0.0,0.0,1.0,0.16,0.0,0.0,1.0,0.8,1.0,0.0,1.0,-0.12,-0.0,-1.0,1.0,-1.68,-0.56,0.63,114.69,4.5,20.8,5.99,0.7,13.1,157.0,11.0,"['ABBV', 'AMGN', 'DOW', 'FDS']"
2021,1,1,marketwatch.com,https://www.marketwatch.com/articles/dont-worry-about-a-weak-dollar-heres-why-51609458797,0.17,0.0,0.0,1.0,0.32,0.0,0.0,1.0,0.52,0.98,0.0,1.0,-0.15,-0.0,-1.0,1.0,5.18,5.86,8.58,78.14,8.9,31.99,9.09,2.34,10.28,431.0,47.0,"['T', 'MS', 'USB']"
2021,1,1,marketwatch.com,https://www.marketwatch.com/story/as-curtain-draws-on-2020-new-years-celebrations-are-muted-by-pandemic-01609459685,0.07,0.0,0.0,1.0,0.1,0.0,0.0,0.99,0.84,1.0,0.0,1.0,-0.03,-0.0,-0.99,1.0,8.74,10.47,10.31,67.18,12.64,42.87,11.41,4.56,10.54,1153.0,139.0,"['BLL', 'CFG', 'FRC']"
